"nomeGateway";"nomeAuvo";"idAuvo"
"NOME_AQUI";"EDF. SELMA SUASSUNA (desativado)";"14254668"
"NOME_AQUI";"EDF. CÔTE D'AZUR (desativado)";"14254669"
"NOME_AQUI";"EDF. VÂNIA VIDAL";"14254670"
"NOME_AQUI";"EDF. ELIS REGINA";"14254671"
"NOME_AQUI";"EDF. SOLAR DOS LORDES";"14254672"
"NOME_AQUI";"EDF. COLISEU";"14254673"
"NOME_AQUI";"EDF. SEPTEMBER";"14254674"
"NOME_AQUI";"EDF. EÇA DE QUEIROZ";"14254675"
"NOME_AQUI";"EDF. VENEZUELA";"14254676"
"NOME_AQUI";"EDF. EMANUELLA";"14254677"
"NOME_AQUI";"EDF. SPARTA";"14254678"
"NOME_AQUI";"EDF. EMPRESARIAL CONLAR";"14254679"
"NOME_AQUI";"EDF. SERAFIM TEIXEIRA";"14254680"
"NOME_AQUI";"EDF. ENGENHO POETA";"14254681"
"NOME_AQUI";"EDF. VIA MANZONI";"14254682"
"NOME_AQUI";"EDF. EGAS MONIS";"14254683"
"NOME_AQUI";"EDF. VILLAGE";"14254684"
"NOME_AQUI";"EDF. ESTAÇÃO VERDE";"14254685"
"NOME_AQUI";"EDF. VITÓRIA RÉGIA";"14254686"
"NOME_AQUI";"EDF. GREEN PARK";"14254687"
"NOME_AQUI";"EDF. YVRESSES VILLAGE";"14254688"
"NOME_AQUI";"EDF. GOLDEN GARDEN";"14254689"
"NOME_AQUI";"EDF. VIVENDA DAS ORQUÍDEAS";"14254690"
"NOME_AQUI";"EDF. GUAINAZES";"14254692"
"NOME_AQUI";"EDF. ZEZO MONTENEGRO";"14254693"
"NOME_AQUI";"BKUP EDVAN CARUARU";"14254694"
"NOME_AQUI";"EDF. FERNANDO DANTAS PEREIRA";"14254695"
"NOME_AQUI";"EDF. BELA VISTA";"14254696"
"NOME_AQUI";"EDF. GOLDEN SEA";"14254698"
"NOME_AQUI";"EDF. GUIMARÃES ROSA";"14254699"
"NOME_AQUI";"EDF. AMBOISE";"14254700"
"NOME_AQUI";"EDF. CONDE DE SAVÓIA";"14254702"
"NOME_AQUI";"EDF. HENRIQUE VI";"14254705"
"NOME_AQUI";"EDF. CONGRESSO DOS PÁSSAROS";"14254706"
"NOME_AQUI";"EDF. HELENA BORGES";"14254707"
"NOME_AQUI";"EDF. CENTAURO";"14254708"
"NOME_AQUI";"EDF. ILHA DE RHODES";"14254709"
"NOME_AQUI";"CENTRAL - QUALIPORT";"14254710"
"NOME_AQUI";"EDF. HORTÊNSIA";"14254711"
"NOME_AQUI";"EDF. IBIRUBÁ";"14254713"
"NOME_AQUI";"EDF. CHIEVO VERONA";"14254714"
"NOME_AQUI";"EDF. HENRIQUE II";"14254715"
"NOME_AQUI";"EDF. COSTA DOS CORAIS";"14254716"
"NOME_AQUI";"EDF. CIDADE DE ISTAMBUL";"14254717"
"NOME_AQUI";"EDF. ILHA DE SANTORINI";"14254718"
"NOME_AQUI";"EDF. PRIVÊ PORTO ALEGRE";"14254719"
"NOME_AQUI";"EDF. ILHA DE CAPRI";"14254720"
"NOME_AQUI";"EDF. SCANDINAVIA";"14254721"
"NOME_AQUI";"EDF. JAQUEIRA PARK";"14254724"
"NOME_AQUI";"EDF. GÊNESIS";"14254725"
"NOME_AQUI";"EDF. GUINLES PARK";"14254727"
"NOME_AQUI";"EDF. JOÃO PAULO II";"14254728"
"NOME_AQUI";"EDF. JAQUEIRA PARKLANE MARCOS SUASSUNA";"14254729"
"NOME_AQUI";"EDF. ISADORA BELTRÃO";"14254730"
"NOME_AQUI";"EDF. JORGE FELIPE";"14254731"
"NOME_AQUI";"EDF. ILHA DE KARPATHOS";"14254732"
"NOME_AQUI";"EDF. LADY FABIANNA";"14254733"
"NOME_AQUI";"EDF. LOFT HOME DESIGN";"14254734"
"NOME_AQUI";"EDF. JOSÉ FERREIRA PINTO";"14254736"
"NOME_AQUI";"EDF. IVONE ASFORA";"14254737"
"NOME_AQUI";"EDF. LONG BEACH VIII";"14254738"
"NOME_AQUI";"EDF. JARDIM";"14254740"
"NOME_AQUI";"EDF. LANCASTER";"14254741"
"NOME_AQUI";"EDF. JULIANA II";"14254743"
"NOME_AQUI";"EDF. MARIA ORTÉLIA";"14254744"
"NOME_AQUI";"EDF. LUAU";"14254745"
"NOME_AQUI";"EDF. NETUNO";"14254746"
"NOME_AQUI";"EDF. MAR DOCE";"14254747"
"NOME_AQUI";"EDF. JOÃO FRANCISCO BEZERRA";"14254748"
"NOME_AQUI";"EDF. PORTO CLASSIC";"14254749"
"NOME_AQUI";"EDF. LEMERIDIEN";"14254750"
"NOME_AQUI";"EDF. MARBELLA";"14254751"
"NOME_AQUI";"EDF. MONTE DOS GUARARAPES";"14254753"
"NOME_AQUI";"EDF. PASÁRGADA";"14254754"
"NOME_AQUI";"EDF. LEONARDO CAVALCANTI";"14254756"
"NOME_AQUI";"EDF. LULA CARDOSO AYRES";"14254757"
"NOME_AQUI";"EDF. PRAÇA DAS ORQUÍDEAS";"14254758"
"NOME_AQUI";"EDF. LIÓZ";"14254759"
"NOME_AQUI";"EDF. PEDRO MELLO";"14254760"
"NOME_AQUI";"EDF. KINTELA";"14254761"
"NOME_AQUI";"EDF. MARIA DA GLÓRIA";"14254762"
"NOME_AQUI";"EDF. QUINTA MARIA DIVA GALVÃO (desativado)";"14254763"
"NOME_AQUI";"EDF. MAISON GAUDI";"14254764"
"NOME_AQUI";"EDF. QUINTA DA TRINDADE";"14254765"
"NOME_AQUI";"EDF. MANACÁ";"14254766"
"NOME_AQUI";"EDF. MARINA DO CUPE";"14254768"
"NOME_AQUI";"EDF. TORREMOLINOS";"14254769"
